name,reads,cpm_evseq,gene_id,count,cpm_srr
YBR005W,23,13.449096922378828,YBR005W,602,150.65498631717378
YBR006W,48,28.067680533660166,YBR006W,70,17.51802166478765
YBR007C,107,62.56753785628411,YBR007C,59,14.765189688892448
YBR008C,264,154.3722429351309,YBR008C,105,26.277032497181477
YBR009C,83,48.533697589454036,YBR009C,998,249.75693744940105
YBR010W,83,48.533697589454036,YBR010W,1853,463.72705921216453
YBR011C,175,102.33008527896935,YBR011C,6064,1517.5611910753187
YBR014C,62,36.25408735597771,YBR014C,60,15.015447141246558
YBR015C,30,17.542300333537604,YBR015C,1080,270.278048542438
YBR016W,2,1.169486688902507,YBR016W,228,57.05869913673691
YBR017C,95,55.55061772286908,YBR017C,297,74.32646334917045
YBR019C,19,11.110123544573817,YBR019C,35,8.759010832393825
YBR020W,13,7.601663477866295,YBR020W,9,2.2523170711869835
YBR021W,23,13.449096922378828,YBR021W,296,74.07620589681635
YBR022W,40,23.38973377805014,YBR022W,87,21.772398354807507
YBR023C,150,87.71150166768803,YBR023C,633,158.41296734015117
YBR024W,22,12.864353577927576,YBR024W,20,5.005149047082186
YBR025C,21,12.279610233476323,YBR025C,1413,353.61378017635644
YBR026C,19,11.110123544573817,YBR026C,181,45.29659887609378
YBR027C,6,3.5084600667075208,YBR027C,2,0.5005149047082186
YBR028C,45,26.313450500306406,YBR028C,60,15.015447141246558
YBR029C,31,18.127043677988855,YBR029C,421,105.35838744108001
YBR030W,54,31.576140600367683,YBR030W,122,30.53140918720133
YBR031W,53,30.991397255916432,YBR031W,18809,4707.092421328442
YBR032W,9,5.262690100061281,YBR032W,8,2.0020596188328743
YBR033W,56,32.745627289270196,YBR033W,34,8.508753380039716
YBR034C,17,9.94063685567131,YBR034C,865,216.47269628630454
YBR035C,3,1.7542300333537604,YBR035C,438,109.61276413109988
YBR036C,55,32.16088394481894,YBR036C,1275,319.07825175148935
YBR037C,54,31.576140600367683,YBR037C,56,14.014417331830119
YBR038W,180,105.25380200122562,YBR038W,367,91.8444850139581
YBR039W,8,4.677946755610028,YBR039W,204,51.0525202802383
YBR040W,44,25.72870715585515,YBR040W,1,0.2502574523541093
YBR041W,103,60.2285644784791,YBR041W,266,66.56848232619306
YBR042C,41,23.97447712250139,YBR042C,313,78.33058258683621
YBR043C,116,67.8302279563454,YBR043C,51,12.763130070059574
YBR044C,100,58.47433444512534,YBR044C,59,14.765189688892448
YBR045C,141,82.44881156762673,YBR045C,10,2.502574523541093
YBR046C,163,95.31316514555431,YBR046C,23,5.755921404144513
YBR047W,144,84.2030416009805,YBR047W,3,0.7507723570623278
YBR048W,348,203.49068386903622,YBR048W,6017,1505.7990908146755
YBR049C,764,446.74391516075764,YBR049C,49,12.262615165351356
YBR050C,178,104.08431531232311,YBR050C,5,1.2512872617705466
YBR052C,80,46.77946755610028,YBR052C,212,53.05457989907117
YBR053C,43,25.1439638114039,YBR053C,134,33.534498615450644
YBR054W,40,23.38973377805014,YBR054W,94,23.52420052128627
YBR055C,110,64.32176788963788,YBR055C,87,21.772398354807507
YBR056W,57,33.33037063372145,YBR056W,90,22.523170711869835
YBR056W-A,49,28.65242387811142,YBR056W-A,154,38.53964766253283
YBR056C-B,41,23.97447712250139,YBR056C-B,72,18.01853656949587
YBR057C,222,129.81302246817827,YBR057C,24,6.0061788564986225
YBR058C,568,332.13421964831196,YBR058C,130,32.53346880603421
YBR058C-A,46,26.898193844757657,YBR058C-A,183,45.797113780802
YBR059C,340,198.81273711342618,YBR059C,73,18.268794021849978
YBR060C,71,41.516777456038994,YBR060C,101,25.27600268776504
YBR061C,35,20.46601705579387,YBR061C,224,56.057669327320475
YBR062C,25,14.618583611281336,YBR062C,56,14.014417331830119
YBR063C,12,7.0169201334150415,YBR063C,25,6.256436308852733
YBR064W,7,4.0932034111587745,YBR064W,4,1.0010298094164372
YBR065C,20,11.69486688902507,YBR065C,20,5.005149047082186
YBR066C,4,2.338973377805014,YBR066C,124,31.03192409190955
YBR067C,0,0.0,YBR067C,1370,342.8527097251297
YBR068C,13,7.601663477866295,YBR068C,3840,960.9886170397797
YBR069C,4,2.338973377805014,YBR069C,1210,302.8115173484722
YBR070C,2,1.169486688902507,YBR070C,139,34.78578587722119
YBR071W,4,2.338973377805014,YBR071W,269,67.3192546832554
YBR072W,21,12.279610233476323,YBR072W,17,4.254376690019858
YBR072C-A,5,2.9237167222562674,YBR072C-A,3,0.7507723570623278
YBR073W,179,104.66905865677437,YBR073W,125,31.28218154426366
YBR074W,108,63.152281200735366,YBR074W,209,52.30380754200884
YBR076W,54,31.576140600367683,YBR076W,32,8.008238475331497
YBR076C-A,1,0.5847433444512535,YBR076C-A,39,9.760040641810262
YBR077C,5,2.9237167222562674,YBR077C,94,23.52420052128627
YBR078W,17,9.94063685567131,YBR078W,7733,1935.240879054327
YBR079C,77,45.025237522746515,YBR079C,768,192.19772340795592
YBR080C,31,18.127043677988855,YBR080C,183,45.797113780802
YBR081C,87,50.872670967259054,YBR081C,73,18.268794021849978
YBR082C,6,3.5084600667075208,YBR082C,587,146.90112453186217
YBR083W,12,7.0169201334150415,YBR083W,203,50.802262827884185
YBR084W,16,9.355893511220057,YBR084W,803,200.95673424034976
YBR084C-A,18,10.525380200122562,YBR084C-A,5568,1393.4334947076804
YBR085W,62,36.25408735597771,YBR085W,36,9.009268284747934
YBR085C-A,32,18.711787022440113,YBR085C-A,90,22.523170711869835
YBR086C,480,280.67680533660166,YBR086C,420,105.1081299887259
YBR087W,243,142.0926327016546,YBR087W,254,63.56539289794376
YBR088C,90,52.62690100061281,YBR088C,235,58.81050130321568
YBR089W,64,37.423574044880226,YBR089W,161,40.2914498290116
YBR089C-A,6,3.5084600667075208,YBR089C-A,164,41.04222218607393
YBR090C,8,4.677946755610028,YBR090C,123,30.781666639555443
YBR091C,5,2.9237167222562674,YBR091C,86,21.5221409024534
YBR092C,15,8.771150166768802,YBR092C,1676,419.4314901454872
YBR093C,14,8.186406822317549,YBR093C,2616,654.6734953583499
YBR094W,29375,17176.83574325557,YBR094W,76,19.019566378912305
YBR095C,18307,10704.896406869098,YBR095C,27,6.756951213560951
YBR096W,7953,4650.463818420819,YBR096W,401,100.35323839399783
YBR097W,21094,12334.57610785474,YBR097W,38,9.509783189456153
YBR098W,800,467.79467556100275,YBR098W,26,6.506693761206842
YBR099C,38,22.220247089147634,YBR099C,8,2.0020596188328743
YBR101C,132,77.18612146756546,YBR101C,175,43.79505416196912
YBR102C,275,160.80441972409469,YBR102C,38,9.509783189456153
YBR103W,245,143.2621193905571,YBR103W,59,14.765189688892448
YBR104W,326,190.62633029110862,YBR104W,226,56.558184232028694
YBR105C,327,191.2110736355599,YBR105C,168,42.043251995490365
YBR106W,228,133.3214825348858,YBR106W,1981,495.76001311349046
YBR107C,242,141.50788935720334,YBR107C,71,17.76827911714176
YBR108W,1069,625.0906352183899,YBR108W,53,13.263644974767793
YBR109C,100,58.47433444512534,YBR109C,699,174.9299591955224
YBR109W-A,9,5.262690100061281,YBR109W-A,6,1.5015447141246556
YBR110W,12,7.0169201334150415,YBR110W,216,54.05560970848761
YBR111C,8,4.677946755610028,YBR111C,277,69.32131430208827
YBR111W-A,3,1.7542300333537604,YBR111W-A,57,14.264674784184228
YBR112C,14,8.186406822317549,YBR112C,101,25.27600268776504
YBR113W,2,1.169486688902507,YBR113W,10,2.502574523541093
YBR114W,16,9.355893511220057,YBR114W,55,13.764159879476011
YBR115C,120,70.16920133415042,YBR115C,256,64.06590780265198
YBR117C,539,315.17666265922566,YBR117C,55,13.764159879476011
YBR118W,531,310.49871590361556,YBR118W,71649,17930.696203719577
YBR119W,794,464.2862154942953,YBR119W,25,6.256436308852733
YBR120C,455,266.0582217253203,YBR120C,16,4.004119237665749
YBR121C,1662,971.8434384779832,YBR121C,1901,475.7394169251617
YBR122C,372,217.52452413586627,YBR122C,172,43.0442818049068
YBR123C,253,147.9400661461671,YBR123C,32,8.008238475331497
YBR124W,5,2.9237167222562674,YBR124W,2,0.5005149047082186
YBR125C,4,2.338973377805014,YBR125C,143,35.78681568663763
